epoch,accuracy,loss,val_accuracy,val_loss
0,0.38317758,1.1090779655447631,0.30000001192092896,1.1021955966949464
1,0.46728972,1.061823649384151,0.30000001192092896,1.1304200410842895
2,0.46728972,1.0352784629180052,0.3499999940395355,1.061632937192917
3,0.5607477,0.9898503545288727,0.4000000059604645,0.9964657604694367
4,0.6728972,0.8284935594719147,0.5,0.8256756126880646
5,0.8130841,0.5250544669193642,0.800000011920929,0.5054212749004364
6,0.8411215,0.45181320565883243,0.949999988079071,0.29101997911930083
7,0.8785047,0.30581645131389673,0.949999988079071,0.21088485792279243
8,0.95327103,0.20091605531138795,1.0,0.09839842468500137
9,0.91588783,0.2259466323270419,1.0,0.09303125273436308
10,0.9626168,0.14491047891657624,1.0,0.08176928572356701
11,0.99065423,0.08530153379401315,1.0,0.03437206055969
12,0.97196263,0.09526639204106738,1.0,0.05570253683254123
13,0.99065423,0.04586922470524404,1.0,0.027613487257622183
14,0.97196263,0.0984379858840431,1.0,0.02777228564955294
15,0.9813084,0.0601976552290546,1.0,0.06001405781134963
16,0.99065423,0.04161458106158806,1.0,0.03688812281470746
17,0.99065423,0.03556960509441549,1.0,0.038474337803199886
18,1.0,0.017122173959837582,1.0,0.01989339603460394
19,1.0,0.015244174540444346,1.0,0.009721770946634933
20,0.99065423,0.013391215596826765,1.0,0.025924711645347997
21,0.99065423,0.019300296354851747,1.0,0.03411944184917957
22,1.0,0.019597257612714143,1.0,0.012448675557971
23,1.0,0.011386627381695782,1.0,0.012129550763347652
24,1.0,0.009487245008284139,1.0,0.01138440208742395
25,1.0,0.0038750972080634142,1.0,0.016914158703002613
26,1.0,0.005364992393607221,1.0,0.01037310434912797
27,1.0,0.004438783096774786,1.0,0.006125476158194943
28,1.0,0.004920244708607081,1.0,0.005469115554296878
29,1.0,0.0038183279530385676,1.0,0.011550698166320216
30,1.0,0.004030612655881915,1.0,0.00826550491474336
31,1.0,0.003847419871427226,1.0,0.021236005785613087
32,1.0,0.002401361310365535,1.0,0.013664077066823665
33,0.99065423,0.034317907605604804,1.0,0.018811122348415664
34,0.97196263,0.06733305030910376,0.949999988079071,0.08347266206983477
35,1.0,0.01777599313093467,1.0,0.028304930846206843
36,1.0,0.015597647609092321,0.949999988079071,0.062348086803103796
37,1.0,0.013146625673624134,1.0,0.012842071981867775
38,1.0,0.0047873796494764705,1.0,0.004834748998109717
39,1.0,0.00244188808642108,1.0,0.010405265321969637
40,1.0,0.002932251539277786,1.0,0.021431132601719582
41,1.0,0.0018352293784509954,1.0,0.017858269326461597
42,1.0,0.002601233832010451,1.0,0.017280946099344874
43,1.0,0.009187629820657111,0.949999988079071,0.048258110000097075
44,1.0,0.0036725401594798588,1.0,0.016353076374616648
45,1.0,0.004525678333455238,1.0,0.0185685399797876
46,1.0,0.0043930719261284865,1.0,0.013157423673783341
47,1.0,0.0008636380576955783,1.0,0.007891030575683545
48,1.0,0.00039364879239709273,1.0,0.006777197487235753
49,1.0,0.0006241928061227325,1.0,0.002318647253832751
